Date,Amount,Category,Desc
2023-01-01,500,Income,Salary
2023-01-03,200,Expense,Groceries
2023-01-05,150,Expense,Electricity Bill
2023-01-07,300,Income,Freelance Work
2023-01-10,100,Expense,Internet Bill
2023-01-15,250,Income,Investment Return
2023-01-18,50,Expense,Transportation
2023-01-20,400,Income,Bonus
2023-01-22,300,Expense,Rent
2023-01-25,600,Income,Sale of Goods
2023-01-28,100,Expense,Restaurant
2023-01-30,200,Expense,Gas
2023-02-02,500,Income,Salary
2023-02-04,50,Expense,Subscription
2023-02-06,120,Expense,Water Bill
2023-02-08,350,Income,Freelance Project
2023-02-11,80,Expense,Phone Bill
2023-02-14,270,Income,Gift
2023-02-16,100,Expense,Clothing
2023-02-19,420,Income,Stock Dividend
2023-02-21,150,Expense,Groceries
2023-02-24,250,Income,Part-time Job
2023-02-27,90,Expense,Household Items
2023-03-01,500,Income,Salary
2023-03-03,200,Expense,Utilities
2023-03-05,180,Expense,Insurance
2023-03-08,300,Income,Consulting Fee
2023-03-11,100,Expense,Entertainment
2023-03-13,50,Expense,Transportation
2023-03-15,250,Income,Side Business
2023-03-18,60,Expense,Healthcare
2023-03-20,450,Income,Bonus
2023-03-23,300,Expense,Rent
2023-03-26,700,Income,Sale of Assets
2023-03-28,100,Expense,Restaurant
2023-03-30,200,Expense,Maintenance
2023-04-01,500,Income,Salary
2023-04-04,50,Expense,Subscription
2023-04-06,120,Expense,Electricity Bill
2023-04-08,350,Income,Freelance Project
2023-04-11,80,Expense,Phone Bill
2023-04-14,270,Income,Gift
2023-04-16,100,Expense,Clothing
2023-04-19,420,Income,Stock Dividend
2023-04-21,150,Expense,Groceries
2023-04-24,250,Income,Part-time Job
2023-04-27,90,Expense,Household Items
